date,crime_type,crime_count
2022-04-01T00:00:00Z,BATTERY,3299
2022-04-01T00:00:00Z,DECEPTIVE PRACTICE,1196
2022-04-01T00:00:00Z,MOTOR VEHICLE THEFT,960
2022-04-01T00:00:00Z,OTHER OFFENSE,1283
2022-04-01T00:00:00Z,ROBBERY,589
2022-04-01T00:00:00Z,NARCOTICS,475
2022-03-01T00:00:00Z,BATTERY,3281
2022-03-01T00:00:00Z,ASSAULT,1593
2022-03-01T00:00:00Z,BURGLARY,541
2022-03-01T00:00:00Z,CRIMINAL DAMAGE,1913
2022-03-01T00:00:00Z,THEFT,3997
2022-03-01T00:00:00Z,ROBBERY,578
2022-03-01T00:00:00Z,OTHER OFFENSE,1303
2022-03-01T00:00:00Z,MOTOR VEHICLE THEFT,1031
2022-03-01T00:00:00Z,DECEPTIVE PRACTICE,1235
2022-03-01T00:00:00Z,NARCOTICS,501
2022-02-01T00:00:00Z,NARCOTICS,469
2022-02-01T00:00:00Z,OTHER OFFENSE,1048
2022-02-01T00:00:00Z,ROBBERY,609
2022-02-01T00:00:00Z,CRIMINAL DAMAGE,1473
2022-02-01T00:00:00Z,BATTERY,2715
2022-02-01T00:00:00Z,MOTOR VEHICLE THEFT,917
2022-02-01T00:00:00Z,ASSAULT,1362
2022-02-01T00:00:00Z,THEFT,3181
2022-02-01T00:00:00Z,DECEPTIVE PRACTICE,929
2022-02-01T00:00:00Z,BURGLARY,491
2022-01-01T00:00:00Z,BATTERY,2793
2022-01-01T00:00:00Z,ROBBERY,676
2022-01-01T00:00:00Z,MOTOR VEHICLE THEFT,1070
2022-01-01T00:00:00Z,THEFT,3242
2022-01-01T00:00:00Z,OTHER OFFENSE,1007
2022-01-01T00:00:00Z,BURGLARY,543
2022-01-01T00:00:00Z,CRIMINAL DAMAGE,1610
2022-01-01T00:00:00Z,ASSAULT,1304
2022-01-01T00:00:00Z,DECEPTIVE PRACTICE,1138
2022-01-01T00:00:00Z,NARCOTICS,269
2021-12-01T00:00:00Z,THEFT,3670
2021-12-01T00:00:00Z,BURGLARY,694
2021-12-01T00:00:00Z,CRIMINAL DAMAGE,1931
2021-12-01T00:00:00Z,ASSAULT,1570
2021-12-01T00:00:00Z,OTHER OFFENSE,974
2021-12-01T00:00:00Z,BATTERY,3109
